key,value
welcome.title,kickstart-mcp에 오신 것을 환영합니다
welcome.subtitle,MCP 설정 도우미
menu.select_language,언어를 선택하세요:
menu.language.en,영어
menu.language.ko,한국어
tutorial.description,인터랙티브 튜토리얼로 Model Context Protocol (MCP)을 배워보세요!
tutorial.guide,MCP 호스트 설정부터 서버와 클라이언트 개발까지, MCP의 모든 단계를 안내해드립니다.
feedback.message,피드백이나 제안이 있으신가요? GitHub 저장소를 방문해주세요:
feedback.actions,- 이슈 열기\n- 풀 리퀘스트 제출\n- 토론 시작하기
